,portfolio_val,cash,paid_out_dividends,fees,taxes,num_buys,num_sells,num_adj,buy_vol,sell_vol,adj_vol
2021-12-17,107956.15898277283,2763.198450022805,3.6975000000000002,0.0,1.4025000000001455,0,0,0,0.0,0.0,0.0
2021-12-20,106651.73037769318,2770.810950022805,7.6125,0.0,2.887499999999818,0,0,0,0.0,0.0,0.0
2021-12-21,107977.0132847023,2770.810950022805,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
2021-12-22,108785.63041259766,2795.7872000228053,24.97625,0.0,9.47375000000011,0,0,0,0.0,0.0,0.0
2021-12-23,109450.84580375672,2817.964950022805,22.177750000000003,0.0,8.412249999999858,0,0,0,0.0,0.0,0.0
2021-12-27,110932.99400569916,2817.964950022805,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
2021-12-28,111230.41425754548,2840.142700022805,22.177750000000003,0.0,8.412249999999858,0,0,0,0.0,0.0,0.0
2021-12-29,111567.07505609513,2840.142700022805,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
2021-12-30,111246.13381149292,2852.3734500228047,12.23075,0.0,4.63924999999972,0,0,0,0.0,0.0,0.0
2021-12-31,111551.58691837311,2862.597762522805,10.2243125,0.0,3.878187500000422,0,0,0,0.0,0.0,0.0
2022-01-03,107224.92840385437,3290.741825816645,11.6,2160.0,1070.9744960857338,34,34,40,34728.47595214844,35249.86137248993,5925.6794357299805
2022-01-04,107634.45038032532,3290.741825816645,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
2022-01-05,106275.04455947876,3295.8168258166447,5.074999999999999,0.0,1.925000000000182,0,0,0,0.0,0.0,0.0
2022-01-06,106912.3069448471,3298.832825816645,3.016,0.0,1.143999999999778,0,0,0,0.0,0.0,0.0
2022-01-07,106457.81835269928,3313.5050133166446,14.6721875,0.0,5.565312500000346,0,0,0,0.0,0.0,0.0
2022-01-10,106224.8946313858,3313.5050133166446,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
2022-01-11,106829.00987243652,3313.5050133166446,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
2022-01-12,107104.03812599182,3314.9115133166447,1.4064999999999999,0.0,0.5334999999995489,0,0,0,0.0,0.0,0.0
2022-01-13,106746.61417675018,3333.9944195666444,19.08290625,0.0,7.23834375000024,0,0,0,0.0,0.0,0.0
2022-01-14,106192.58792591095,3333.9944195666444,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
2022-01-18,104916.46612548828,3339.0114195666447,5.017,0.0,1.9030000000002474,0,0,0,0.0,0.0,0.0
2022-01-19,104024.88639450073,3339.0114195666447,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
